leg_id,order_in_leg,joint_name,type,parent,child,axis_xyz,origin_xyz,origin_rpy,est_segment_len,limit_lower_rad,limit_upper_rad,limit_velocity,limit_effort
0,0,fl_coxa_joint,revolute,base_link,fl_coxa_link,"[-0.0, -0.0, 1.0]","[0.0802, -0.1049, -0.0717]","[0.0, 0.0, 0.0]",0.15025624779023333,-1.570796,1.570796,10.0,100.0
0,1,fl_femur_joint,revolute,fl_coxa_link,fl_femur_link,"[0.707107, 0.707107, -0.0]","[0.055296, -0.015981, -0.0171]","[0.0, 0.0, 0.0]",0.06004539929919694,-1.570796,1.570796,10.0,100.0
0,2,fl_tibia_joint,revolute,fl_femur_link,fl_tibia_link,"[-0.707107, -0.707107, 0.0]","[0.056568, -0.056568, 0.0]","[0.0, 0.0, 0.0]",0.07999923279632123,-1.570796,1.570796,10.0,100.0
1,0,fr_coxa_joint,revolute,base_link,fr_coxa_link,"[0.0, 0.0, 1.0]","[-0.1202, -0.10365, -0.07235]","[0.0, 0.0, 0.0]",0.17443017227532626,-1.570796,1.570796,10.0,100.0
1,1,fr_femur_joint,revolute,fr_coxa_link,fr_femur_link,"[0.707107, -0.707107, -0.0]","[-0.015981, -0.055296, -0.0171]","[0.0, 0.0, 0.0]",0.06004539929919694,-1.570796,1.570796,10.0,100.0
1,2,fr_tibia_joint,revolute,fr_femur_link,fr_tibia_link,"[0.707107, -0.707107, -0.0]","[-0.055507, -0.057629, 0.0]","[0.0, 0.0, 0.0]",0.08001330320640437,-1.570796,1.570796,10.0,100.0
2,0,rl_coxa_joint,revolute,base_link,rl_coxa_link,"[0.0, -0.0, 1.0]","[0.0802, 0.0649, -0.0717]","[0.0, 0.0, 0.0]",0.12563813115451852,-1.570796,1.570796,10.0,100.0
2,1,rl_femur_joint,revolute,rl_coxa_link,rl_femur_link,"[-0.707107, 0.707107, 0.0]","[0.015981, 0.055296, -0.0171]","[0.0, 0.0, 0.0]",0.06004539929919694,-1.570796,1.570796,10.0,100.0
2,2,rl_tibia_joint,revolute,rl_femur_link,rl_tibia_link,"[-0.707107, 0.707107, 0.0]","[0.056568, 0.056568, 0.0]","[0.0, 0.0, 0.0]",0.07999923279632123,-1.570796,1.570796,10.0,100.0
3,0,rr_coxa_joint,revolute,base_link,rr_coxa_link,"[0.0, 0.0, 1.0]","[-0.1202, 0.0649, -0.0717]","[0.0, 0.0, 0.0]",0.15427553273283487,-1.570796,1.570796,10.0,100.0
3,1,rr_femur_joint,revolute,rr_coxa_link,rr_femur_link,"[-0.707107, -0.707107, 0.0]","[-0.055296, 0.015981, -0.0156]","[0.0, 0.0, 0.0]",0.05963555966870773,-1.570796,1.570796,10.0,100.0
3,2,rr_tibia_joint,revolute,rr_femur_link,rr_tibia_link,"[-0.707107, -0.707107, -0.0]","[-0.056568, 0.056568, 0.0]","[0.0, 0.0, 0.0]",0.07999923279632123,-1.570796,1.570796,10.0,100.0
